fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
57,Fulton,41900,42500,42800,43000,43300,43400,43600,43700,44100,43600,43687,43863,43107,42341,41281,39793,38649,38304,38133,38080,38077,38186,38347,38328,38357,38443,38840,38616,38454,38434,38216,37880,37587,37705,37630,37452,37387,37272,37224,37090,37071,36973,36659,36369,36007,35699,35517,35110
59,Gallatin,7418,7700,7600,7500,7600,7700,7600,7800,7600,7800,7590,7850,7719,7718,7644,7602,7490,7309,7077,6909,6902,6787,6778,6788,6723,6666,6654,6544,6512,6477,6405,6279,6144,6117,6071,6030,5980,5883,5796,5631,5578,5510,5414,5401,5291,5265,5163,5080
61,Greene,17014,16800,17100,17300,17100,17300,17300,17300,16900,16800,16661,16846,16519,16262,15986,15874,15695,15590,15519,15317,15314,15156,15069,15206,15190,15166,15075,15066,14982,14832,14752,14620,14622,14558,14411,14382,14167,14001,13956,13926,13877,13841,13616,13617,13434,13241,13119,13174
63,Grundy,26535,27400,28000,28100,28000,28400,28800,29400,30400,30500,30582,30948,30677,30619,30735,30845,31024,31313,31575,32337,32494,33255,33755,34263,34685,35073,35651,36263,36732,37121,37704,38320,38865,39819,41410,44181,46534,48175,49166,49702,50098,50045,50150,50149,50425,50541,50269,50586
65,Hamilton,8665,8700,8700,8700,8800,8800,8900,9100,9200,9400,9172,9351,9271,9280,9166,9086,8919,8841,8750,8499,8487,8478,8473,8501,8493,8599,8633,8674,8695,8688,8602,8527,8440,8431,8525,8471,8497,8416,8454,8448,8449,8416,8364,8329,8296,8200,8199,8194
67,Hancock,23664,23200,22800,23000,22800,22900,23200,23400,23500,23800,23877,24200,23781,23562,23247,22720,22308,22051,21729,21373,21346,21319,21409,21349,21134,20971,20844,20594,20523,20267,20148,20069,19794,19673,19577,19479,19412,19359,19192,19080,19093,19019,18835,18531,18564,18543,18219,18020
69,Hardin,4914,4900,5000,5100,5100,5200,5300,5300,5400,5500,5383,5506,5388,5400,5469,5369,5294,5356,5231,5189,5185,5117,5186,5223,5108,5077,4978,4914,4863,4824,4777,4765,4723,4724,4664,4615,4508,4462,4386,4344,4304,4281,4257,4158,4129,4135,4099,4046
71,Henderson,8451,8400,8400,8500,8500,8600,8500,8700,8900,9100,9114,9144,8976,8961,8799,8653,8418,8340,8316,8096,8058,8087,8190,8209,8106,8257,8260,8353,8292,8218,8172,8150,8078,7935,7912,7786,7614,7565,7463,7340,7325,7201,7019,6909,6916,6995,6874,6795
73,Henry,53217,52400,52800,53800,54800,56000,56200,56800,57400,58100,57968,57618,56769,56329,55530,54721,53681,52738,52101,51159,51063,50971,51058,50839,50956,51150,51075,50830,50789,51004,51078,50714,50454,50714,50509,50572,50392,50528,50492,50536,50432,50267,50071,49750,49635,49489,49524,49328
75,Iroquois,33532,34000,34100,34500,34000,33900,34100,33800,33700,33400,32976,33481,33081,32760,32541,32156,31765,31595,31209,30787,30783,30919,31200,31431,31493,31481,31649,31603,31494,31389,31386,31022,30805,30688,30493,30548,30308,30282,30228,29863,29663,29510,29289,29017,28879,28672,28214,27876
